id_person,dob,city,state,country,region,group,lat,long
292345,95,,Baja California,MX,Central America,Latin America and the Caribbean,30.033892,-115.142511
223204,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
223511,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
224738,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
225082,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
225481,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
225924,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
237870,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238099,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238170,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238235,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238238,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238498,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
253938,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
257065,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
259116,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
260552,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
260795,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267907,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289542,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290117,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292496,95,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
257084,95,,Distrito Capital,VE,South America,Latin America and the Caribbean,10.505349,-66.914721
256356,95,,Distrito Federal,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
224696,95,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
224886,95,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
256257,95,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
238164,95,,Miranda,VE,South America,Latin America and the Caribbean,10.25,-66.416667
258355,95,,Miranda,VE,South America,Latin America and the Caribbean,10.25,-66.416667
223513,95,,Nueva Esparta,VE,South America,Latin America and the Caribbean,11,-64
225081,95,,,PA,Central America,Latin America and the Caribbean,8.309607,-81.306625
227192,95,,,PA,Central America,Latin America and the Caribbean,8.309607,-81.306625
239492,95,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
240145,95,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
257715,95,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
291898,95,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
225122,95,,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
237878,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238220,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238296,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238500,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
238572,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
239761,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
239900,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
253779,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
253940,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
253942,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
256251,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
256399,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
258915,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
259280,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
260521,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267451,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267598,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267609,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290264,96,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
261063,96,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
267416,96,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
257658,96,,New Providence,BS,Caribbean,Latin America and the Caribbean,24.773655,-78.000055
254173,96,,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
253787,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
253820,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
256233,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
256339,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
259296,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
261115,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
266891,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267027,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267316,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267419,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267436,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267444,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267570,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267701,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267922,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
270087,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289407,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290174,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290247,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290329,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290367,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290849,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292351,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292605,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
293441,97,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
292125,97,,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
268547,97,,Lara,VE,South America,Latin America and the Caribbean,10.228452,-69.819797
268029,97,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
291908,97,,Ponce,PR,Caribbean,Latin America and the Caribbean,18.106332,-67.89443
266887,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
266889,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267357,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267446,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267489,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267490,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
267558,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
268526,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
269540,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
270815,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289458,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289575,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
289661,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290141,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290171,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290191,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
290867,98,,Carabobo,VE,South America,Latin America and the Caribbean,10.166667,-68.083333
