team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_NewYork-Pennsylvania_Aberdeen,2017,American,BAL,New York-Pennsylvania,Aberdeen,A-,MiLB,Aberdeen_MD_US,Aberdeen,MD,US,39.509556,-76.16412
2016_Eastern_Akron,2017,American,CLE,Eastern,Akron,AA,MiLB,Akron_OH_US,Akron,OH,US,41.083064,-81.518485
2016_PacificCoast_Albuquerque,2017,National,COL,Pacific Coast,Albuquerque,AAA,MiLB,Albuquerque_NM_US,Albuquerque,NM,US,35.084103,-106.650985
2016_DominicanSummer_WhiteSox,17,AL,Chicago White Sox,Dominican Summer,White Sox,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_Arizona_Angels,2017,American,LAA,Arizona,Angels,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Angels,2017,American,LAA,Dominican Summer,Angels,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_Texas_Arkansas,2017,American,SEA,Texas,Arkansas,AA,MiLB,LittleRock_AR_US,Little Rock,AR,US,34.746481,-92.289595
2016_SouthAtlantic_Asheville,2017,National,COL,South Atlantic,Asheville,A,MiLB,Asheville_NC_US,Asheville,NC,US,35.60095,-82.554016
2016_DominicanSummer_Tigers,17,AL,Detroit  Tigers,Dominican Summer,Tigers,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_AstrosBlue,17,AL,Houston Astros,Dominican Summer,Astros Blue,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_AstrosOrange,17,AL,Houston Astros,Dominican Summer,Astros Orange,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_Twins,17,AL,Minnesota Twins,Dominican Summer,Twins,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_Mets1,17,NL,New York Mets,Dominican Summer,Mets 1,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_NewYork-Pennsylvania_Auburn,2017,National,WSH,New York-Pennsylvania,Auburn,A-,MiLB,Auburn_NY_US,Auburn,NY,US,42.93202,-76.567203
2016_DominicanSummer_Mets2,17,NL,New York Mets,Dominican Summer,Mets 2,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_Athletics,17,AL,Oakland Athletics,Dominican Summer,Athletics,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_PhilliesWhite,17,NL,Philadelphia Phillies,Dominican Summer,Phillies White,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_Pioneer_Billings,2017,National,CIN,Pioneer,Billings,Rk,MiLB,Billings_MT_US,Billings,MT,US,45.787496,-108.49607
2016_Southern_Biloxi,2017,National,MIL,Southern,Biloxi,AA,MiLB,Biloxi_MS_US,Biloxi,MS,US,30.374673,-88.845943
2016_DominicanSummer_Pirates,17,NL,Pittsburgh Pirates,Dominican Summer,Pirates,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_Southern_Birmingham,2017,American,CWS,Southern,Birmingham,AA,MiLB,Birmingham_AL_US,Birmingham,AL,US,33.520682,-86.802433
2016_DominicanSummer_BlueJays,2017,American,TOR,Dominican Summer,Blue Jays,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_GulfCoast_BlueJays,2017,American,TOR,Gulf Coast,Blue Jays,Rk,MiLB,FL_US, ,FL,US,27.756767,-81.463983
2016_Appalachian_Bluefield,2017,American,TOR,Appalachian,Bluefield,Rk,MiLB,Bluefield_VA_US,Bluefield,VA,US,37.252617,-81.27121
2016_Northwest_Boise,2017,National,COL,Northwest,Boise,A-,MiLB,Boise_ID_US,Boise,ID,US,43.61656,-116.200835
2016_Eastern_Bowie,2017,American,BAL,Eastern,Bowie,AA,MiLB,Bowie_MD_US,Bowie,MD,US,38.942966,-76.731234
2016_Midwest_BowlingGreen,2017,American,TB,Midwest,Bowling Green,A,MiLB,BowlingGreen_KY_US,Bowling Green,KY,US,36.99032,-86.443602
2016_DominicanSummer_Giants,17,NL,San Francisco Giants,Dominican Summer,Giants,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_DominicanSummer_Braves,2017,National,ATL,Dominican Summer,Braves,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_GulfCoast_Braves,2017,National,ATL,Gulf Coast,Braves,Rk,MiLB,FL_US, ,FL,US,27.756767,-81.463983
2016_Arizona_Brewers,2017,National,MIL,Arizona,Brewers,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Brewers,2017,National,MIL,Dominican Summer,Brewers,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_DominicanSummer_Nationals,17,NL,Washington Nationals,Dominican Summer,Nationals,Foreign Rookie,Minor League,DO, , ,Dominican Republic,19.097403,-70.302803
2016_NewYork-Pennsylvania_Brooklyn,2017,National,NYM,New York-Pennsylvania,Brooklyn,A-,MiLB,Brooklyn_NY_US,Brooklyn,NY,US,40.650104,-73.949582
2016_International_Buffalo,2017,American,TOR,International,Buffalo,AAA,MiLB,Buffalo_NY_US,Buffalo,NY,US,42.886717,-78.878392
2016_Carolina_BuiesCreek,2017,American,HOU,Carolina,Buies Creek,A+,MiLB,BuiesCreek_NC_US,Buies Creek,NC,US,35.413217,-78.735573
2016_Southern_Montgomery,17,AL,Tampa Bay Devil  Rays,Southern,Montgomery,Double A,Minor League,Montgomery_AL_US,Montgomery,Alabama,United States,32.366966,-86.300648
2016_Texas_NorthwestArkansas,17,AL,Kansas City Royals,Texas,Northwest Arkansas,Double A,Minor League,Springdale_AR_US,Springdale,Arkansas,United States,36.186744,-94.128814
2016_DominicanSummer_Cardinals,2017,National,STL,Dominican Summer,Cardinals,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_GulfCoast_Cardinals,2017,National,STL,Gulf Coast,Cardinals,Rk,MiLB,FL_US, ,FL,US,27.756767,-81.463983
2016_Carolina_Carolina,2017,National,MIL,Carolina,Carolina,A+,MiLB,Zebulon_NC_US,Zebulon,NC,US,35.824321,-78.31472
2016_Midwest_CedarRapids,2017,American,MIN,Midwest,Cedar Rapids,A,MiLB,CedarRapids_IA_US,Cedar Rapids,IA,US,41.975887,-91.670405
2016_Arizona_WhiteSox,17,AL,Chicago White Sox,Arizona,White Sox,Rookie,Minor League,AZ_US, ,Arizona,United States,34.395342,-111.763275
2016_Arizona_Athletics,17,AL,Oakland Athletics,Arizona,Athletics,Rookie,Minor League,AZ_US, ,Arizona,United States,34.395342,-111.763275
2016_Arizona_Giants,17,NL,San Francisco Giants,Arizona,Giants,Rookie,Minor League,AZ_US, ,Arizona,United States,34.395342,-111.763275
2016_California_Lancaster,17,NL,Colorado Rockies,California,Lancaster,High A,Minor League,Lancaster_CA_US,Lancaster,California,United States,34.698106,-118.136615
2016_California_Stockton,17,AL,Oakland Athletics,California,Stockton,High A,Minor League,Stockton_CA_US,Stockton,California,United States,37.957702,-121.29078
2016_California_Modesto,17,AL,Seattle Mariners,California,Modesto,High A,Minor League,Modesto_CA_US,Modesto,California,United States,37.639097,-120.996878
